Row,C0,C1,C2,C3,C4,C5,C6
0,0,1,3,2,6,4,5
1,1,2,4,3,0,5,6
2,3,4,6,5,2,0,1
3,2,3,5,4,1,6,0
4,6,0,2,1,5,3,4
5,4,5,0,6,3,1,2
6,5,6,1,0,4,2,3
END
