Row,C0,C1,C2,C3,C4,C5,C6
0,0,0,0,0,0,0,0
1,0,1,2,3,4,5,6
2,0,2,4,6,1,3,5
3,0,3,6,2,5,1,4
4,0,4,1,5,2,6,3
5,0,5,3,1,6,4,2
6,0,6,5,4,3,2,1
END
