Row,C0,C1,C2,C3,C4,C5,C6
0,0,0,0,0,0,0,0
1,1,3,2,6,4,0,3
2,2,6,4,5,0,2,6
3,4,5,1,0,6,4,5
4,1,3,0,4,5,1,3
5,2,0,5,1,3,2,6
6,4,0,0,0,0,0,0
END
