Idx,Wedge_rk,Wedge coords,Line_rk,Line basis,Klein_rk,Klein coords
81,84," 7, 7, 1, 0, 0, 0",46," 1, 0, 0, 0, 0, 1, 1, 5",226," 7, 0, 7, 0, 1, 0"
82,85," 8, 7, 1, 0, 0, 0",58," 1, 0, 0, 0, 0, 1, 4, 6",227," 8, 0, 7, 0, 1, 0"
83,86," 0, 8, 1, 0, 0, 0",87," 1, 0, 0, 0, 0, 0, 1, 6",236," 0, 0, 8, 0, 1, 0"
84,87," 1, 8, 1, 0, 0, 0",17," 1, 0, 0, 0, 0, 1, 8, 1",237," 1, 0, 8, 0, 1, 0"
85,88," 2, 8, 1, 0, 0, 0",22," 1, 0, 0, 0, 0, 1, 4, 2",238," 2, 0, 8, 0, 1, 0"
86,89," 3, 8, 1, 0, 0, 0",43," 1, 0, 0, 0, 0, 1, 7, 4",239," 3, 0, 8, 0, 1, 0"
87,90," 4, 8, 1, 0, 0, 0",29," 1, 0, 0, 0, 0, 1, 2, 3",240," 4, 0, 8, 0, 1, 0"
88,91," 5, 8, 1, 0, 0, 0",69," 1, 0, 0, 0, 0, 1, 6, 7",241," 5, 0, 8, 0, 1, 0"
89,92," 6, 8, 1, 0, 0, 0",77," 1, 0, 0, 0, 0, 1, 5, 8",242," 6, 0, 8, 0, 1, 0"
90,93," 7, 8, 1, 0, 0, 0",48," 1, 0, 0, 0, 0, 1, 3, 5",243," 7, 0, 8, 0, 1, 0"
91,94," 8, 8, 1, 0, 0, 0",55," 1, 0, 0, 0, 0, 1, 1, 6",244," 8, 0, 8, 0, 1, 0"
92,95," 1, 0, 0, 1, 0, 0",182," 1, 0, 2, 0, 0, 1, 0, 0",902," 1, 0, 0, 0, 0, 1"
93,96," 2, 0, 0, 1, 0, 0",91," 1, 0, 1, 0, 0, 1, 0, 0",903," 2, 0, 0, 0, 0, 1"
94,97," 3, 0, 0, 1, 0, 0",728," 1, 0, 8, 0, 0, 1, 0, 0",904," 3, 0, 0, 0, 0, 1"
95,98," 4, 0, 0, 1, 0, 0",546," 1, 0, 6, 0, 0, 1, 0, 0",905," 4, 0, 0, 0, 0, 1"
96,99," 5, 0, 0, 1, 0, 0",455," 1, 0, 5, 0, 0, 1, 0, 0",906," 5, 0, 0, 0, 0, 1"
97,100," 6, 0, 0, 1, 0, 0",364," 1, 0, 4, 0, 0, 1, 0, 0",907," 6, 0, 0, 0, 0, 1"
98,101," 7, 0, 0, 1, 0, 0",637," 1, 0, 7, 0, 0, 1, 0, 0",908," 7, 0, 0, 0, 0, 1"
99,102," 8, 0, 0, 1, 0, 0",273," 1, 0, 3, 0, 0, 1, 0, 0",909," 8, 0, 0, 0, 0, 1"
100,103," 0, 1, 0, 1, 0, 0",172," 1, 1, 0, 0, 0, 0, 1, 0",918," 0, 0, 1, 0, 0, 1"
101,104," 1, 1, 0, 1, 0, 0",183," 1, 0, 2, 0, 0, 1, 1, 0",919," 1, 0, 1, 0, 0, 1"
102,105," 2, 1, 0, 1, 0, 0",93," 1, 0, 1, 0, 0, 1, 2, 0",920," 2, 0, 1, 0, 0, 1"
103,106," 3, 1, 0, 1, 0, 0",732," 1, 0, 8, 0, 0, 1, 4, 0",921," 3, 0, 1, 0, 0, 1"
104,107," 4, 1, 0, 1, 0, 0",549," 1, 0, 6, 0, 0, 1, 3, 0",922," 4, 0, 1, 0, 0, 1"
105,108," 5, 1, 0, 1, 0, 0",462," 1, 0, 5, 0, 0, 1, 7, 0",923," 5, 0, 1, 0, 0, 1"
106,109," 6, 1, 0, 1, 0, 0",372," 1, 0, 4, 0, 0, 1, 8, 0",924," 6, 0, 1, 0, 0, 1"
107,110," 7, 1, 0, 1, 0, 0",642," 1, 0, 7, 0, 0, 1, 5, 0",925," 7, 0, 1, 0, 0, 1"
108,111," 8, 1, 0, 1, 0, 0",279," 1, 0, 3, 0, 0, 1, 6, 0",926," 8, 0, 1, 0, 0, 1"
109,112," 0, 2, 0, 1, 0, 0",263," 1, 2, 0, 0, 0, 0, 1, 0",935," 0, 0, 2, 0, 0, 1"
110,113," 1, 2, 0, 1, 0, 0",184," 1, 0, 2, 0, 0, 1, 2, 0",936," 1, 0, 2, 0, 0, 1"
111,114," 2, 2, 0, 1, 0, 0",92," 1, 0, 1, 0, 0, 1, 1, 0",937," 2, 0, 2, 0, 0, 1"
112,115," 3, 2, 0, 1, 0, 0",736," 1, 0, 8, 0, 0, 1, 8, 0",938," 3, 0, 2, 0, 0, 1"
113,116," 4, 2, 0, 1, 0, 0",552," 1, 0, 6, 0, 0, 1, 6, 0",939," 4, 0, 2, 0, 0, 1"
114,117," 5, 2, 0, 1, 0, 0",460," 1, 0, 5, 0, 0, 1, 5, 0",940," 5, 0, 2, 0, 0, 1"
115,118," 6, 2, 0, 1, 0, 0",368," 1, 0, 4, 0, 0, 1, 4, 0",941," 6, 0, 2, 0, 0, 1"
116,119," 7, 2, 0, 1, 0, 0",644," 1, 0, 7, 0, 0, 1, 7, 0",942," 7, 0, 2, 0, 0, 1"
117,120," 8, 2, 0, 1, 0, 0",276," 1, 0, 3, 0, 0, 1, 3, 0",943," 8, 0, 2, 0, 0, 1"
118,121," 0, 3, 0, 1, 0, 0",445," 1, 4, 0, 0, 0, 0, 1, 0",952," 0, 0, 3, 0, 0, 1"
119,122," 1, 3, 0, 1, 0, 0",185," 1, 0, 2, 0, 0, 1, 3, 0",953," 1, 0, 3, 0, 0, 1"
120,123," 2, 3, 0, 1, 0, 0",97," 1, 0, 1, 0, 0, 1, 6, 0",954," 2, 0, 3, 0, 0, 1"
121,124," 3, 3, 0, 1, 0, 0",729," 1, 0, 8, 0, 0, 1, 1, 0",955," 3, 0, 3, 0, 0, 1"
122,125," 4, 3, 0, 1, 0, 0",553," 1, 0, 6, 0, 0, 1, 7, 0",956," 4, 0, 3, 0, 0, 1"
123,126," 5, 3, 0, 1, 0, 0",463," 1, 0, 5, 0, 0, 1, 8, 0",957," 5, 0, 3, 0, 0, 1"
124,127," 6, 3, 0, 1, 0, 0",366," 1, 0, 4, 0, 0, 1, 2, 0",958," 6, 0, 3, 0, 0, 1"
125,128," 7, 3, 0, 1, 0, 0",641," 1, 0, 7, 0, 0, 1, 4, 0",959," 7, 0, 3, 0, 0, 1"
126,129," 8, 3, 0, 1, 0, 0",278," 1, 0, 3, 0, 0, 1, 5, 0",960," 8, 0, 3, 0, 0, 1"
127,130," 0, 4, 0, 1, 0, 0",354," 1, 3, 0, 0, 0, 0, 1, 0",969," 0, 0, 4, 0, 0, 1"
128,131," 1, 4, 0, 1, 0, 0",186," 1, 0, 2, 0, 0, 1, 4, 0",970," 1, 0, 4, 0, 0, 1"
129,132," 2, 4, 0, 1, 0, 0",99," 1, 0, 1, 0, 0, 1, 8, 0",971," 2, 0, 4, 0, 0, 1"
