Idx,Wedge_rk,Wedge coords,Line_rk,Line basis,Klein_rk,Klein coords
221,1232," 5, 0, 5, 0, 1, 0",4104," 1, 0, 0, 5, 0, 1, 0, 1",322," 1, 0, 0, 5, 1, 0"
222,1233," 6, 0, 5, 0, 1, 0",3303," 1, 0, 0, 4, 0, 1, 0, 3",325," 4, 0, 0, 5, 1, 0"
223,1234," 7, 0, 5, 0, 1, 0",5751," 1, 0, 0, 7, 0, 1, 0, 2",323," 2, 0, 0, 5, 1, 0"
224,1235," 8, 0, 5, 0, 1, 0",2529," 1, 0, 0, 3, 0, 1, 0, 8",327," 6, 0, 0, 5, 1, 0"
225,1308," 0, 0, 6, 0, 1, 0",818," 1, 8, 0, 0, 0, 0, 0, 1",304," 0, 0, 0, 4, 1, 0"
226,1309," 1, 0, 6, 0, 1, 0",1692," 1, 0, 0, 2, 0, 1, 0, 6",312," 8, 0, 0, 4, 1, 0"
227,1310," 2, 0, 6, 0, 1, 0",846," 1, 0, 0, 1, 0, 1, 0, 3",308," 4, 0, 0, 4, 1, 0"
228,1311," 3, 0, 6, 0, 1, 0",6570," 1, 0, 0, 8, 0, 1, 0, 2",306," 2, 0, 0, 4, 1, 0"
229,1312," 4, 0, 6, 0, 1, 0",4959," 1, 0, 0, 6, 0, 1, 0, 5",311," 7, 0, 0, 4, 1, 0"
230,1313," 5, 0, 6, 0, 1, 0",4131," 1, 0, 0, 5, 0, 1, 0, 4",307," 3, 0, 0, 4, 1, 0"
231,1314," 6, 0, 6, 0, 1, 0",3285," 1, 0, 0, 4, 0, 1, 0, 1",305," 1, 0, 0, 4, 1, 0"
232,1315," 7, 0, 6, 0, 1, 0",5805," 1, 0, 0, 7, 0, 1, 0, 8",310," 6, 0, 0, 4, 1, 0"
233,1316," 8, 0, 6, 0, 1, 0",2520," 1, 0, 0, 3, 0, 1, 0, 7",309," 5, 0, 0, 4, 1, 0"
234,1389," 0, 0, 7, 0, 1, 0",545," 1, 5, 0, 0, 0, 0, 0, 1",355," 0, 0, 0, 7, 1, 0"
235,1390," 1, 0, 7, 0, 1, 0",1701," 1, 0, 0, 2, 0, 1, 0, 7",360," 5, 0, 0, 7, 1, 0"
236,1391," 2, 0, 7, 0, 1, 0",864," 1, 0, 0, 1, 0, 1, 0, 5",362," 7, 0, 0, 7, 1, 0"
237,1392," 3, 0, 7, 0, 1, 0",6579," 1, 0, 0, 8, 0, 1, 0, 3",359," 4, 0, 0, 7, 1, 0"
238,1393," 4, 0, 7, 0, 1, 0",4986," 1, 0, 0, 6, 0, 1, 0, 8",361," 6, 0, 0, 7, 1, 0"
239,1394," 5, 0, 7, 0, 1, 0",4113," 1, 0, 0, 5, 0, 1, 0, 2",357," 2, 0, 0, 7, 1, 0"
240,1395," 6, 0, 7, 0, 1, 0",3330," 1, 0, 0, 4, 0, 1, 0, 6",363," 8, 0, 0, 7, 1, 0"
241,1396," 7, 0, 7, 0, 1, 0",5742," 1, 0, 0, 7, 0, 1, 0, 1",356," 1, 0, 0, 7, 1, 0"
242,1397," 8, 0, 7, 0, 1, 0",2493," 1, 0, 0, 3, 0, 1, 0, 4",358," 3, 0, 0, 7, 1, 0"
243,1470," 0, 0, 8, 0, 1, 0",636," 1, 6, 0, 0, 0, 0, 0, 1",287," 0, 0, 0, 3, 1, 0"
244,1471," 1, 0, 8, 0, 1, 0",1710," 1, 0, 0, 2, 0, 1, 0, 8",293," 6, 0, 0, 3, 1, 0"
245,1472," 2, 0, 8, 0, 1, 0",855," 1, 0, 0, 1, 0, 1, 0, 4",290," 3, 0, 0, 3, 1, 0"
246,1473," 3, 0, 8, 0, 1, 0",6615," 1, 0, 0, 8, 0, 1, 0, 7",292," 5, 0, 0, 3, 1, 0"
247,1474," 4, 0, 8, 0, 1, 0",4932," 1, 0, 0, 6, 0, 1, 0, 2",289," 2, 0, 0, 3, 1, 0"
248,1475," 5, 0, 8, 0, 1, 0",4149," 1, 0, 0, 5, 0, 1, 0, 6",295," 8, 0, 0, 3, 1, 0"
249,1476," 6, 0, 8, 0, 1, 0",3321," 1, 0, 0, 4, 0, 1, 0, 5",294," 7, 0, 0, 3, 1, 0"
250,1477," 7, 0, 8, 0, 1, 0",5760," 1, 0, 0, 7, 0, 1, 0, 3",291," 4, 0, 0, 3, 1, 0"
251,1478," 8, 0, 8, 0, 1, 0",2466," 1, 0, 0, 3, 0, 1, 0, 1",288," 1, 0, 0, 3, 1, 0"
252,1551," 0, 0, 0, 1, 1, 0",7372," 0, 1, 0, 0, 0, 0, 1, 1",1071," 0, 0, 0, 2, 0, 1"
253,1552," 1, 0, 0, 1, 1, 0",1820," 1, 0, 2, 2, 0, 1, 0, 0",1072," 1, 0, 0, 2, 0, 1"
254,1553," 2, 0, 0, 1, 1, 0",910," 1, 0, 1, 1, 0, 1, 0, 0",1073," 2, 0, 0, 2, 0, 1"
255,1554," 3, 0, 0, 1, 1, 0",7280," 1, 0, 8, 8, 0, 1, 0, 0",1074," 3, 0, 0, 2, 0, 1"
256,1555," 4, 0, 0, 1, 1, 0",5460," 1, 0, 6, 6, 0, 1, 0, 0",1075," 4, 0, 0, 2, 0, 1"
257,1556," 5, 0, 0, 1, 1, 0",4550," 1, 0, 5, 5, 0, 1, 0, 0",1076," 5, 0, 0, 2, 0, 1"
258,1557," 6, 0, 0, 1, 1, 0",3640," 1, 0, 4, 4, 0, 1, 0, 0",1077," 6, 0, 0, 2, 0, 1"
259,1558," 7, 0, 0, 1, 1, 0",6370," 1, 0, 7, 7, 0, 1, 0, 0",1078," 7, 0, 0, 2, 0, 1"
260,1559," 8, 0, 0, 1, 1, 0",2730," 1, 0, 3, 3, 0, 1, 0, 0",1079," 8, 0, 0, 2, 0, 1"
261,1641," 0, 1, 1, 1, 1, 0",173," 1, 1, 0, 0, 0, 0, 1, 1",1855," 0, 0, 1, 2, 1, 1"
262,1642," 1, 1, 1, 1, 1, 0",1830," 1, 0, 2, 2, 0, 1, 1, 1",1857," 1, 0, 1, 2, 1, 1"
263,1643," 2, 1, 1, 1, 1, 0",930," 1, 0, 1, 1, 0, 1, 2, 2",1856," 2, 0, 1, 2, 1, 1"
264,1644," 3, 1, 1, 1, 1, 0",7320," 1, 0, 8, 8, 0, 1, 4, 4",1861," 3, 0, 1, 2, 1, 1"
265,1645," 4, 1, 1, 1, 1, 0",5490," 1, 0, 6, 6, 0, 1, 3, 3",1863," 4, 0, 1, 2, 1, 1"
266,1646," 5, 1, 1, 1, 1, 0",4620," 1, 0, 5, 5, 0, 1, 7, 7",1862," 5, 0, 1, 2, 1, 1"
267,1647," 6, 1, 1, 1, 1, 0",3720," 1, 0, 4, 4, 0, 1, 8, 8",1858," 6, 0, 1, 2, 1, 1"
268,1648," 7, 1, 1, 1, 1, 0",6420," 1, 0, 7, 7, 0, 1, 5, 5",1860," 7, 0, 1, 2, 1, 1"
269,1649," 8, 1, 1, 1, 1, 0",2790," 1, 0, 3, 3, 0, 1, 6, 6",1859," 8, 0, 1, 2, 1, 1"
270,1731," 0, 2, 2, 1, 1, 0",264," 1, 2, 0, 0, 0, 0, 1, 1",2575," 0, 0, 2, 2, 2, 1"
271,1732," 1, 2, 2, 1, 1, 0",1840," 1, 0, 2, 2, 0, 1, 2, 2",2576," 1, 0, 2, 2, 2, 1"
272,1733," 2, 2, 2, 1, 1, 0",920," 1, 0, 1, 1, 0, 1, 1, 1",2577," 2, 0, 2, 2, 2, 1"
273,1734," 3, 2, 2, 1, 1, 0",7360," 1, 0, 8, 8, 0, 1, 8, 8",2578," 3, 0, 2, 2, 2, 1"
274,1735," 4, 2, 2, 1, 1, 0",5520," 1, 0, 6, 6, 0, 1, 6, 6",2579," 4, 0, 2, 2, 2, 1"
275,1736," 5, 2, 2, 1, 1, 0",4600," 1, 0, 5, 5, 0, 1, 5, 5",2580," 5, 0, 2, 2, 2, 1"
276,1737," 6, 2, 2, 1, 1, 0",3680," 1, 0, 4, 4, 0, 1, 4, 4",2581," 6, 0, 2, 2, 2, 1"
277,1738," 7, 2, 2, 1, 1, 0",6440," 1, 0, 7, 7, 0, 1, 7, 7",2582," 7, 0, 2, 2, 2, 1"
278,1739," 8, 2, 2, 1, 1, 0",2760," 1, 0, 3, 3, 0, 1, 3, 3",2583," 8, 0, 2, 2, 2, 1"
279,1821," 0, 3, 3, 1, 1, 0",446," 1, 4, 0, 0, 0, 0, 1, 1",3295," 0, 0, 3, 2, 3, 1"
280,1822," 1, 3, 3, 1, 1, 0",1850," 1, 0, 2, 2, 0, 1, 3, 3",3303," 1, 0, 3, 2, 3, 1"
281,1823," 2, 3, 3, 1, 1, 0",970," 1, 0, 1, 1, 0, 1, 6, 6",3299," 2, 0, 3, 2, 3, 1"
282,1824," 3, 3, 3, 1, 1, 0",7290," 1, 0, 8, 8, 0, 1, 1, 1",3297," 3, 0, 3, 2, 3, 1"
283,1825," 4, 3, 3, 1, 1, 0",5530," 1, 0, 6, 6, 0, 1, 7, 7",3302," 4, 0, 3, 2, 3, 1"
284,1826," 5, 3, 3, 1, 1, 0",4630," 1, 0, 5, 5, 0, 1, 8, 8",3298," 5, 0, 3, 2, 3, 1"
285,1827," 6, 3, 3, 1, 1, 0",3660," 1, 0, 4, 4, 0, 1, 2, 2",3296," 6, 0, 3, 2, 3, 1"
286,1828," 7, 3, 3, 1, 1, 0",6410," 1, 0, 7, 7, 0, 1, 4, 4",3301," 7, 0, 3, 2, 3, 1"
287,1829," 8, 3, 3, 1, 1, 0",2780," 1, 0, 3, 3, 0, 1, 5, 5",3300," 8, 0, 3, 2, 3, 1"
288,1911," 0, 4, 4, 1, 1, 0",355," 1, 3, 0, 0, 0, 0, 1, 1",4015," 0, 0, 4, 2, 4, 1"
289,1912," 1, 4, 4, 1, 1, 0",1860," 1, 0, 2, 2, 0, 1, 4, 4",4021," 1, 0, 4, 2, 4, 1"
290,1913," 2, 4, 4, 1, 1, 0",990," 1, 0, 1, 1, 0, 1, 8, 8",4018," 2, 0, 4, 2, 4, 1"
291,1914," 3, 4, 4, 1, 1, 0",7330," 1, 0, 8, 8, 0, 1, 5, 5",4020," 3, 0, 4, 2, 4, 1"
292,1915," 4, 4, 4, 1, 1, 0",5470," 1, 0, 6, 6, 0, 1, 1, 1",4017," 4, 0, 4, 2, 4, 1"
293,1916," 5, 4, 4, 1, 1, 0",4580," 1, 0, 5, 5, 0, 1, 3, 3",4023," 5, 0, 4, 2, 4, 1"
294,1917," 6, 4, 4, 1, 1, 0",3710," 1, 0, 4, 4, 0, 1, 7, 7",4022," 6, 0, 4, 2, 4, 1"
295,1918," 7, 4, 4, 1, 1, 0",6430," 1, 0, 7, 7, 0, 1, 6, 6",4019," 7, 0, 4, 2, 4, 1"
296,1919," 8, 4, 4, 1, 1, 0",2750," 1, 0, 3, 3, 0, 1, 2, 2",4016," 8, 0, 4, 2, 4, 1"
297,2001," 0, 5, 5, 1, 1, 0",719," 1, 7, 0, 0, 0, 0, 1, 1",4735," 0, 0, 5, 2, 5, 1"
298,2002," 1, 5, 5, 1, 1, 0",1870," 1, 0, 2, 2, 0, 1, 5, 5",4740," 1, 0, 5, 2, 5, 1"
299,2003," 2, 5, 5, 1, 1, 0",980," 1, 0, 1, 1, 0, 1, 7, 7",4742," 2, 0, 5, 2, 5, 1"
300,2004," 3, 5, 5, 1, 1, 0",7340," 1, 0, 8, 8, 0, 1, 6, 6",4739," 3, 0, 5, 2, 5, 1"
301,2005," 4, 5, 5, 1, 1, 0",5500," 1, 0, 6, 6, 0, 1, 4, 4",4741," 4, 0, 5, 2, 5, 1"
302,2006," 5, 5, 5, 1, 1, 0",4560," 1, 0, 5, 5, 0, 1, 1, 1",4737," 5, 0, 5, 2, 5, 1"
303,2007," 6, 5, 5, 1, 1, 0",3670," 1, 0, 4, 4, 0, 1, 3, 3",4743," 6, 0, 5, 2, 5, 1"
304,2008," 7, 5, 5, 1, 1, 0",6390," 1, 0, 7, 7, 0, 1, 2, 2",4736," 7, 0, 5, 2, 5, 1"
305,2009," 8, 5, 5, 1, 1, 0",2810," 1, 0, 3, 3, 0, 1, 8, 8",4738," 8, 0, 5, 2, 5, 1"
306,2091," 0, 6, 6, 1, 1, 0",810," 1, 8, 0, 0, 0, 0, 1, 1",5455," 0, 0, 6, 2, 6, 1"
307,2092," 1, 6, 6, 1, 1, 0",1880," 1, 0, 2, 2, 0, 1, 6, 6",5459," 1, 0, 6, 2, 6, 1"
308,2093," 2, 6, 6, 1, 1, 0",940," 1, 0, 1, 1, 0, 1, 3, 3",5463," 2, 0, 6, 2, 6, 1"
309,2094," 3, 6, 6, 1, 1, 0",7300," 1, 0, 8, 8, 0, 1, 2, 2",5456," 3, 0, 6, 2, 6, 1"
310,2095," 4, 6, 6, 1, 1, 0",5510," 1, 0, 6, 6, 0, 1, 5, 5",5460," 4, 0, 6, 2, 6, 1"
311,2096," 5, 6, 6, 1, 1, 0",4590," 1, 0, 5, 5, 0, 1, 4, 4",5461," 5, 0, 6, 2, 6, 1"
312,2097," 6, 6, 6, 1, 1, 0",3650," 1, 0, 4, 4, 0, 1, 1, 1",5457," 6, 0, 6, 2, 6, 1"
313,2098," 7, 6, 6, 1, 1, 0",6450," 1, 0, 7, 7, 0, 1, 8, 8",5458," 7, 0, 6, 2, 6, 1"
314,2099," 8, 6, 6, 1, 1, 0",2800," 1, 0, 3, 3, 0, 1, 7, 7",5462," 8, 0, 6, 2, 6, 1"
315,2181," 0, 7, 7, 1, 1, 0",537," 1, 5, 0, 0, 0, 0, 1, 1",6175," 0, 0, 7, 2, 7, 1"
316,2182," 1, 7, 7, 1, 1, 0",1890," 1, 0, 2, 2, 0, 1, 7, 7",6182," 1, 0, 7, 2, 7, 1"
317,2183," 2, 7, 7, 1, 1, 0",960," 1, 0, 1, 1, 0, 1, 5, 5",6180," 2, 0, 7, 2, 7, 1"
318,2184," 3, 7, 7, 1, 1, 0",7310," 1, 0, 8, 8, 0, 1, 3, 3",6183," 3, 0, 7, 2, 7, 1"
319,2185," 4, 7, 7, 1, 1, 0",5540," 1, 0, 6, 6, 0, 1, 8, 8",6178," 4, 0, 7, 2, 7, 1"
320,2186," 5, 7, 7, 1, 1, 0",4570," 1, 0, 5, 5, 0, 1, 2, 2",6176," 5, 0, 7, 2, 7, 1"
321,2187," 6, 7, 7, 1, 1, 0",3700," 1, 0, 4, 4, 0, 1, 6, 6",6179," 6, 0, 7, 2, 7, 1"
322,2188," 7, 7, 7, 1, 1, 0",6380," 1, 0, 7, 7, 0, 1, 1, 1",6177," 7, 0, 7, 2, 7, 1"
323,2189," 8, 7, 7, 1, 1, 0",2770," 1, 0, 3, 3, 0, 1, 4, 4",6181," 8, 0, 7, 2, 7, 1"
324,2271," 0, 8, 8, 1, 1, 0",628," 1, 6, 0, 0, 0, 0, 1, 1",6895," 0, 0, 8, 2, 8, 1"
325,2272," 1, 8, 8, 1, 1, 0",1900," 1, 0, 2, 2, 0, 1, 8, 8",6898," 1, 0, 8, 2, 8, 1"
326,2273," 2, 8, 8, 1, 1, 0",950," 1, 0, 1, 1, 0, 1, 4, 4",6901," 2, 0, 8, 2, 8, 1"
327,2274," 3, 8, 8, 1, 1, 0",7350," 1, 0, 8, 8, 0, 1, 7, 7",6902," 3, 0, 8, 2, 8, 1"
328,2275," 4, 8, 8, 1, 1, 0",5480," 1, 0, 6, 6, 0, 1, 2, 2",6896," 4, 0, 8, 2, 8, 1"
329,2276," 5, 8, 8, 1, 1, 0",4610," 1, 0, 5, 5, 0, 1, 6, 6",6899," 5, 0, 8, 2, 8, 1"
330,2277," 6, 8, 8, 1, 1, 0",3690," 1, 0, 4, 4, 0, 1, 5, 5",6900," 6, 0, 8, 2, 8, 1"
331,2278," 7, 8, 8, 1, 1, 0",6400," 1, 0, 7, 7, 0, 1, 3, 3",6903," 7, 0, 8, 2, 8, 1"
332,2279," 8, 8, 8, 1, 1, 0",2740," 1, 0, 3, 3, 0, 1, 1, 1",6897," 8, 0, 8, 2, 8, 1"
333,2280," 0, 0, 0, 2, 1, 0",7373," 0, 1, 0, 0, 0, 0, 1, 2",1054," 0, 0, 0, 1, 0, 1"
334,2281," 1, 0, 0, 2, 1, 0",1729," 1, 0, 1, 2, 0, 1, 0, 0",1056," 2, 0, 0, 1, 0, 1"
335,2282," 2, 0, 0, 2, 1, 0",1001," 1, 0, 2, 1, 0, 1, 0, 0",1055," 1, 0, 0, 1, 0, 1"
336,2283," 3, 0, 0, 2, 1, 0",6916," 1, 0, 4, 8, 0, 1, 0, 0",1060," 6, 0, 0, 1, 0, 1"
337,2284," 4, 0, 0, 2, 1, 0",5187," 1, 0, 3, 6, 0, 1, 0, 0",1062," 8, 0, 0, 1, 0, 1"
338,2285," 5, 0, 0, 2, 1, 0",4732," 1, 0, 7, 5, 0, 1, 0, 0",1061," 7, 0, 0, 1, 0, 1"
339,2286," 6, 0, 0, 2, 1, 0",4004," 1, 0, 8, 4, 0, 1, 0, 0",1057," 3, 0, 0, 1, 0, 1"
340,2287," 7, 0, 0, 2, 1, 0",6188," 1, 0, 5, 7, 0, 1, 0, 0",1059," 5, 0, 0, 1, 0, 1"
341,2288," 8, 0, 0, 2, 1, 0",3003," 1, 0, 6, 3, 0, 1, 0, 0",1058," 4, 0, 0, 1, 0, 1"
342,2379," 0, 2, 1, 2, 1, 0",174," 1, 1, 0, 0, 0, 0, 1, 2",2558," 0, 0, 1, 1, 2, 1"
343,2380," 1, 2, 1, 2, 1, 0",1740," 1, 0, 1, 2, 0, 1, 2, 1",2560," 2, 0, 1, 1, 2, 1"
344,2381," 2, 2, 1, 2, 1, 0",1020," 1, 0, 2, 1, 0, 1, 1, 2",2559," 1, 0, 1, 1, 2, 1"
345,2382," 3, 2, 1, 2, 1, 0",6960," 1, 0, 4, 8, 0, 1, 8, 4",2564," 6, 0, 1, 1, 2, 1"
346,2383," 4, 2, 1, 2, 1, 0",5220," 1, 0, 3, 6, 0, 1, 6, 3",2566," 8, 0, 1, 1, 2, 1"
347,2384," 5, 2, 1, 2, 1, 0",4800," 1, 0, 7, 5, 0, 1, 5, 7",2565," 7, 0, 1, 1, 2, 1"
348,2385," 6, 2, 1, 2, 1, 0",4080," 1, 0, 8, 4, 0, 1, 4, 8",2561," 3, 0, 1, 1, 2, 1"
349,2386," 7, 2, 1, 2, 1, 0",6240," 1, 0, 5, 7, 0, 1, 7, 5",2563," 5, 0, 1, 1, 2, 1"
350,2387," 8, 2, 1, 2, 1, 0",3060," 1, 0, 6, 3, 0, 1, 3, 6",2562," 4, 0, 1, 1, 2, 1"
351,2451," 0, 1, 2, 2, 1, 0",265," 1, 2, 0, 0, 0, 0, 1, 2",1838," 0, 0, 2, 1, 1, 1"
352,2452," 1, 1, 2, 2, 1, 0",1748," 1, 0, 1, 2, 0, 1, 1, 2",1839," 2, 0, 2, 1, 1, 1"
353,2453," 2, 1, 2, 2, 1, 0",1012," 1, 0, 2, 1, 0, 1, 2, 1",1840," 1, 0, 2, 1, 1, 1"
354,2454," 3, 1, 2, 2, 1, 0",6992," 1, 0, 4, 8, 0, 1, 4, 8",1841," 6, 0, 2, 1, 1, 1"
355,2455," 4, 1, 2, 2, 1, 0",5244," 1, 0, 3, 6, 0, 1, 3, 6",1842," 8, 0, 2, 1, 1, 1"
356,2456," 5, 1, 2, 2, 1, 0",4784," 1, 0, 7, 5, 0, 1, 7, 5",1843," 7, 0, 2, 1, 1, 1"
357,2457," 6, 1, 2, 2, 1, 0",4048," 1, 0, 8, 4, 0, 1, 8, 4",1844," 3, 0, 2, 1, 1, 1"
358,2458," 7, 1, 2, 2, 1, 0",6256," 1, 0, 5, 7, 0, 1, 5, 7",1845," 5, 0, 2, 1, 1, 1"
359,2459," 8, 1, 2, 2, 1, 0",3036," 1, 0, 6, 3, 0, 1, 6, 3",1846," 4, 0, 2, 1, 1, 1"
360,2577," 0, 6, 3, 2, 1, 0",447," 1, 4, 0, 0, 0, 0, 1, 2",5438," 0, 0, 3, 1, 6, 1"
361,2578," 1, 6, 3, 2, 1, 0",1762," 1, 0, 1, 2, 0, 1, 6, 3",5446," 2, 0, 3, 1, 6, 1"
362,2579," 2, 6, 3, 2, 1, 0",1058," 1, 0, 2, 1, 0, 1, 3, 6",5442," 1, 0, 3, 1, 6, 1"
363,2580," 3, 6, 3, 2, 1, 0",6927," 1, 0, 4, 8, 0, 1, 2, 1",5440," 6, 0, 3, 1, 6, 1"
364,2581," 4, 6, 3, 2, 1, 0",5255," 1, 0, 3, 6, 0, 1, 5, 7",5445," 8, 0, 3, 1, 6, 1"
365,2582," 5, 6, 3, 2, 1, 0",4808," 1, 0, 7, 5, 0, 1, 4, 8",5441," 7, 0, 3, 1, 6, 1"
366,2583," 6, 6, 3, 2, 1, 0",4023," 1, 0, 8, 4, 0, 1, 1, 2",5439," 3, 0, 3, 1, 6, 1"
367,2584," 7, 6, 3, 2, 1, 0",6232," 1, 0, 5, 7, 0, 1, 8, 4",5444," 5, 0, 3, 1, 6, 1"
368,2585," 8, 6, 3, 2, 1, 0",3055," 1, 0, 6, 3, 0, 1, 7, 5",5443," 4, 0, 3, 1, 6, 1"
369,2676," 0, 8, 4, 2, 1, 0",356," 1, 3, 0, 0, 0, 0, 1, 2",6878," 0, 0, 4, 1, 8, 1"
370,2677," 1, 8, 4, 2, 1, 0",1773," 1, 0, 1, 2, 0, 1, 8, 4",6884," 2, 0, 4, 1, 8, 1"
371,2678," 2, 8, 4, 2, 1, 0",1077," 1, 0, 2, 1, 0, 1, 4, 8",6881," 1, 0, 4, 1, 8, 1"
372,2679," 3, 8, 4, 2, 1, 0",6968," 1, 0, 4, 8, 0, 1, 7, 5",6883," 6, 0, 4, 1, 8, 1"
373,2680," 4, 8, 4, 2, 1, 0",5198," 1, 0, 3, 6, 0, 1, 2, 1",6880," 8, 0, 4, 1, 8, 1"
374,2681," 5, 8, 4, 2, 1, 0",4765," 1, 0, 7, 5, 0, 1, 6, 3",6886," 7, 0, 4, 1, 8, 1"
375,2682," 6, 8, 4, 2, 1, 0",4072," 1, 0, 8, 4, 0, 1, 5, 7",6885," 3, 0, 4, 1, 8, 1"
376,2683," 7, 8, 4, 2, 1, 0",6245," 1, 0, 5, 7, 0, 1, 3, 6",6882," 5, 0, 4, 1, 8, 1"
377,2684," 8, 8, 4, 2, 1, 0",3022," 1, 0, 6, 3, 0, 1, 1, 2",6879," 4, 0, 4, 1, 8, 1"
378,2748," 0, 7, 5, 2, 1, 0",720," 1, 7, 0, 0, 0, 0, 1, 2",6158," 0, 0, 5, 1, 7, 1"
379,2749," 1, 7, 5, 2, 1, 0",1781," 1, 0, 1, 2, 0, 1, 7, 5",6163," 2, 0, 5, 1, 7, 1"
380,2750," 2, 7, 5, 2, 1, 0",1069," 1, 0, 2, 1, 0, 1, 5, 7",6165," 1, 0, 5, 1, 7, 1"
381,2751," 3, 7, 5, 2, 1, 0",6973," 1, 0, 4, 8, 0, 1, 3, 6",6162," 6, 0, 5, 1, 7, 1"
382,2752," 4, 7, 5, 2, 1, 0",5231," 1, 0, 3, 6, 0, 1, 8, 4",6164," 8, 0, 5, 1, 7, 1"
383,2753," 5, 7, 5, 2, 1, 0",4743," 1, 0, 7, 5, 0, 1, 2, 1",6160," 7, 0, 5, 1, 7, 1"
384,2754," 6, 7, 5, 2, 1, 0",4037," 1, 0, 8, 4, 0, 1, 6, 3",6166," 3, 0, 5, 1, 7, 1"
385,2755," 7, 7, 5, 2, 1, 0",6207," 1, 0, 5, 7, 0, 1, 1, 2",6159," 5, 0, 5, 1, 7, 1"
386,2756," 8, 7, 5, 2, 1, 0",3079," 1, 0, 6, 3, 0, 1, 4, 8",6161," 4, 0, 5, 1, 7, 1"
387,2793," 0, 3, 6, 2, 1, 0",811," 1, 8, 0, 0, 0, 0, 1, 2",3278," 0, 0, 6, 1, 3, 1"
388,2794," 1, 3, 6, 2, 1, 0",1786," 1, 0, 1, 2, 0, 1, 3, 6",3282," 2, 0, 6, 1, 3, 1"
389,2795," 2, 3, 6, 2, 1, 0",1034," 1, 0, 2, 1, 0, 1, 6, 3",3286," 1, 0, 6, 1, 3, 1"
390,2796," 3, 3, 6, 2, 1, 0",6935," 1, 0, 4, 8, 0, 1, 1, 2",3279," 6, 0, 6, 1, 3, 1"
391,2797," 4, 3, 6, 2, 1, 0",5239," 1, 0, 3, 6, 0, 1, 7, 5",3283," 8, 0, 6, 1, 3, 1"
392,2798," 5, 3, 6, 2, 1, 0",4776," 1, 0, 7, 5, 0, 1, 8, 4",3284," 7, 0, 6, 1, 3, 1"
393,2799," 6, 3, 6, 2, 1, 0",4015," 1, 0, 8, 4, 0, 1, 2, 1",3280," 3, 0, 6, 1, 3, 1"
394,2800," 7, 3, 6, 2, 1, 0",6264," 1, 0, 5, 7, 0, 1, 4, 8",3281," 5, 0, 6, 1, 3, 1"
395,2801," 8, 3, 6, 2, 1, 0",3071," 1, 0, 6, 3, 0, 1, 5, 7",3285," 4, 0, 6, 1, 3, 1"
396,2892," 0, 5, 7, 2, 1, 0",538," 1, 5, 0, 0, 0, 0, 1, 2",4718," 0, 0, 7, 1, 5, 1"
397,2893," 1, 5, 7, 2, 1, 0",1797," 1, 0, 1, 2, 0, 1, 5, 7",4725," 2, 0, 7, 1, 5, 1"
398,2894," 2, 5, 7, 2, 1, 0",1053," 1, 0, 2, 1, 0, 1, 7, 5",4723," 1, 0, 7, 1, 5, 1"
399,2895," 3, 5, 7, 2, 1, 0",6949," 1, 0, 4, 8, 0, 1, 6, 3",4726," 6, 0, 7, 1, 5, 1"
400,2896," 4, 5, 7, 2, 1, 0",5263," 1, 0, 3, 6, 0, 1, 4, 8",4721," 8, 0, 7, 1, 5, 1"
401,2897," 5, 5, 7, 2, 1, 0",4751," 1, 0, 7, 5, 0, 1, 1, 2",4719," 7, 0, 7, 1, 5, 1"
402,2898," 6, 5, 7, 2, 1, 0",4061," 1, 0, 8, 4, 0, 1, 3, 6",4722," 3, 0, 7, 1, 5, 1"
403,2899," 7, 5, 7, 2, 1, 0",6199," 1, 0, 5, 7, 0, 1, 2, 1",4720," 5, 0, 7, 1, 5, 1"
404,2900," 8, 5, 7, 2, 1, 0",3047," 1, 0, 6, 3, 0, 1, 8, 4",4724," 4, 0, 7, 1, 5, 1"
405,2964," 0, 4, 8, 2, 1, 0",629," 1, 6, 0, 0, 0, 0, 1, 2",3998," 0, 0, 8, 1, 4, 1"
406,2965," 1, 4, 8, 2, 1, 0",1805," 1, 0, 1, 2, 0, 1, 4, 8",4001," 2, 0, 8, 1, 4, 1"
407,2966," 2, 4, 8, 2, 1, 0",1045," 1, 0, 2, 1, 0, 1, 8, 4",4004," 1, 0, 8, 1, 4, 1"
408,2967," 3, 4, 8, 2, 1, 0",6984," 1, 0, 4, 8, 0, 1, 5, 7",4005," 6, 0, 8, 1, 4, 1"
409,2968," 4, 4, 8, 2, 1, 0",5206," 1, 0, 3, 6, 0, 1, 1, 2",3999," 8, 0, 8, 1, 4, 1"
410,2969," 5, 4, 8, 2, 1, 0",4789," 1, 0, 7, 5, 0, 1, 3, 6",4002," 7, 0, 8, 1, 4, 1"
411,2970," 6, 4, 8, 2, 1, 0",4056," 1, 0, 8, 4, 0, 1, 7, 5",4003," 3, 0, 8, 1, 4, 1"
412,2971," 7, 4, 8, 2, 1, 0",6221," 1, 0, 5, 7, 0, 1, 6, 3",4006," 5, 0, 8, 1, 4, 1"
413,2972," 8, 4, 8, 2, 1, 0",3014," 1, 0, 6, 3, 0, 1, 2, 1",4000," 4, 0, 8, 1, 4, 1"
414,3009," 0, 0, 0, 3, 1, 0",7375," 0, 1, 0, 0, 0, 0, 1, 4",1173," 0, 0, 0, 8, 0, 1"
