Row,C0,C1,C2,C3,C4,C5,C6,C7,C8
0,0,0,0,0,0,0,0,0,0
1,7,8,2,6,5,4,1,0,8
2,2,6,5,4,1,3,0,2,6
3,5,4,1,3,7,0,6,5,4
4,1,3,7,8,0,5,4,1,3
5,7,8,2,0,4,1,3,7,8
6,2,6,0,1,3,7,8,2,6
7,5,0,3,7,8,2,6,5,4
8,1,0,0,0,0,0,0,0,0
END
