Row,Line,Node,Level,OrbitIdx,OrbitRep,StabOrder,OrbitLength,SV_length
0,0,7,5,0,"0,1,2,3,4",16,7560,0
1,1,8,5,1,"0,1,2,3,5",12,10080,0
2,2,9,5,2,"0,1,2,3,16",120,1008,0
END
