Row,Line,Node,Level,OrbitIdx,OrbitRep,StabOrder,OrbitLength,SV_length
0,0,15,7,0,"0,1,2,3,4,7,10",336,360,0
1,1,16,7,1,"0,1,2,3,4,7,11",8,15120,0
2,2,17,7,2,"0,1,2,3,4,8,11",12,10080,0
3,3,18,7,3,"0,1,2,3,4,8,14",4,30240,0
4,4,19,7,4,"0,1,2,3,4,16,19",48,2520,0
END
