Row,Line,Node,Level,OrbitIdx,OrbitRep,StabOrder,OrbitLength,SV_length
0,0,10,6,0,"0,1,2,3,4,7",48,2520,0
1,1,11,6,1,"0,1,2,3,4,8",6,20160,0
2,2,12,6,2,"0,1,2,3,4,16",8,15120,0
3,3,13,6,3,"0,1,2,3,5,15",36,3360,0
4,4,14,6,4,"0,1,2,3,16,19",720,168,0
END
