Row,Line,Node,Level,OrbitIdx,OrbitRep,StabOrder,OrbitLength,SV_length
0,0,23,9,0,"0,1,2,3,4,7,11,13,16",12,10080,0
1,1,24,9,1,"0,1,2,3,4,8,11,17,18",432,280,0
2,2,25,9,2,"0,1,2,3,4,8,14,16,19",108,1120,0
END
