Row,Line,Node,Level,OrbitIdx,OrbitRep,StabOrder,OrbitLength,SV_length
0,0,20,8,0,"0,1,2,3,4,7,11,13",4,30240,0
1,1,21,8,1,"0,1,2,3,4,8,11,17",48,2520,0
2,2,22,8,2,"0,1,2,3,4,8,14,16",12,10080,0
END
