Row,Line,Node,Level,OrbitIdx,OrbitRep,StabOrder,OrbitLength,SV_length
0,0,4,4,0,"0,3,261,351",3456,15746400,0
1,1,5,4,1,"0,3,261,352",432,125971200,0
2,2,6,4,2,"0,3,261,360",64,850305600,0
3,3,7,4,3,"0,3,261,432",64,850305600,0
4,4,8,4,4,"0,3,261,441",576,94478400,0
5,5,9,4,5,"0,3,261,442",72,755827200,0
6,6,10,4,6,"0,3,261,450",32,1700611200,0
7,7,11,4,7,"0,3,261,459",32,1700611200,0
8,8,12,4,8,"0,3,261,486",64,850305600,0
END
