ROW,C1,C2,C3
0,"tab:nauty:control",,
1,"Nauty Control Options",,
1,"\verb'-save_nauty_input_graphs' "," prefix "," Save nauty input graphs during classification. The graphs will be written in Dimacs format. The file name will be constructed from the given prefix and the name of the combinatorial object. "
1,"\verb'-save_orbit_of_equations' "," prefix "," Save the orbit of equations (only for objects of type variety). The file name will be constructed from the given prefix and the name of the combinatorial object. "
1,"\verb'-partition' "," part "," Compute the canonical form with respect to the stabilizer of the partition. "
1,"\verb'-show_canonical_form' "," "," Show the canonical form during classification. "
END
