ROW,C1,C2,C3
0,"tab:grouptasks3",,
1,"Group theoretic activities (Part 3)",,
1,"\verb'-find_standard_generators' "," $a$ $b$ $c$ "," Finds all pairs of elements $x,y$ in $G$ such that $|x| = a,$ $|y|=b$, and $|xy|=c$. Such pairs are called standard generators. "
1,"\verb'-find_standard_generators_M24' "," "," Finds a pair of standard generators for $M_{24}$. "
1,"\verb'-find_small_generating_set' "," sz nb ","Find a generating set of the group consisting of sz generators using a randomized algorithm. Give up after nb trials. "
1,"\verb'-proportion_of_' \verb'generating_sets_of_size_k' "," k ","Find the proportion of subsets of size k which generate the group. "
1,"\verb'-proportion_of_' \verb'generating_sets_of_size_k_' \verb'using_orbits' "," k orbiter\_file orbit\_reps orbit\_length ","Find the proportion of subsets of size k which generate the group, using a previously computed csv-file with orbits on pairs. orbit\_reps orbit\_length are the column labels in the csv file. "
1,"\verb'-export_group_table' "," ","Export the group table as csv-file. "
1,"\verb'-export_orbiter' ","  ","Exports the group to Orbiter. "
1,"\verb'-export_gap' ","  ","Exports the group to GAP~\cite{GAP}. "
1,"\verb'-export_magma' ","  ","Exports the group to Magma~\cite{Magma}. "
END
