ROW,C1,C2,C3
0,"tab:tree:draw",,
1,"Options for Drawing Trees",,
1,"\verb'-file' "," fname "," File in .tree format  "
1,"\verb'-restrict' "," color ","  "
1,"\verb'-select_path' "," path ","  "
END
