ROW,C1,C2,C3
0,"tab:modifier:2",,
1,"Group Modifications (Part 2)",,
1,"\verb'-subgroup_by_lattice' "," i "," Create the representative of the $i$-th conjugacy class of subgroups in the lattice of subgroups. The conjugacy classes of subgroups must have been computed before using the group theoretic activity \verb'-subgroup_lattice_magma'. A shortened base will be computed for the subgroup. The shortened base contains only those base points for which the basic orbit is non-trivial. See Section~\ref{sec:lineargroups:advanced:topics}. "
1,"\verb'-stabilizer_of_variety' "," variety "," Create the stabilizer of the given variety. "
1,"\verb'-subgroup_by_generators' "," elements "," Create the subgroup generated by the given set of elements. "
1,"\verb'-nauty_control' ","  options "," Nauty options, see Table~\ref{tab:nauty:control}.  "
1,"\verb'-from' "," label "," Specify the input group action (this option can be repeated). "
END

1,"\verb'-holomorph' ","  "," Create the semidirect product of the group and its automorphism group. "
