ROW,REP,AGO,OL
0,"0,1,2,3,4,7,10",336,360
1,"0,1,2,3,4,7,11",8,15120
2,"0,1,2,3,4,8,11",12,10080
3,"0,1,2,3,4,8,14",4,30240
4,"0,1,2,3,4,16,19",48,2520
END
