ROW,REP,AGO,OL
0,"0,1,2,3,4,7",48,2520
1,"0,1,2,3,4,8",6,20160
2,"0,1,2,3,4,16",8,15120
3,"0,1,2,3,5,15",36,3360
4,"0,1,2,3,16,19",720,168
END
