ROW,C1,C2,C3
0,"tab:quartic:curve:export",,
1,"Options for Exporting Data: Quartic Curves",,
1,"\verb'points' "," "," The points on the quartic curve. "
1,"\verb'equation' "," "," The equation of the quartic curves as a coefficient vector of length 15. "
1,"\verb'bitangents' "," "," The 28 bitangents. "
1,"\verb'Kovalevski_points' "," "," The Kovalevski points (points off the curve where 4 bitangents meet). "
1,"\verb'singular_points' "," "," The singular points of the curve. "
END
