Row,C0
0,0
1,1
2,1
3,2
4,3
5,3
6,4
7,5
8,6
9,6
10,7
11,8
12,8
13,9
14,10
15,11
16,12
17,12
18,13
19,14
20,14
21,15
22,16
23,17
24,17
25,18
26,19
27,19
28,20
29,21
30,22
31,23
32,24
33,24
34,25
35,26
36,26
37,27
38,28
39,29
40,29
41,30
42,31
43,31
44,32
45,33
46,34
47,35
48,35
49,36
50,37
51,37
52,38
53,39
54,40
55,40
56,41
57,42
58,42
59,43
60,44
61,45
62,46
63,47
64,48
65,48
66,49
67,50
68,50
69,51
70,52
71,53
72,53
73,54
74,55
75,55
76,56
77,57
78,58
79,59
80,59
81,60
82,61
83,61
84,62
85,63
86,64
87,64
88,65
89,66
90,66
91,67
92,68
93,69
94,70
95,71
96,71
97,72
98,73
99,73
100,74
101,75
102,76
103,76
104,77
105,78
106,78
107,79
108,80
109,81
110,82
111,82
112,83
113,84
114,84
115,85
116,86
117,87
118,87
119,88
120,89
121,89
122,90
123,91
124,92
125,93
126,94
127,95
128,96
129,96
130,97
131,98
132,98
133,99
134,100
135,101
136,101
137,102
138,103
139,103
140,104
141,105
142,106
143,107
144,107
145,108
146,109
147,109
148,110
149,111
150,112
151,112
152,113
153,114
154,114
155,115
156,116
157,117
158,118
159,119
160,119
161,120
162,121
163,121
164,122
165,123
166,124
167,124
168,125
169,126
170,126
171,127
172,128
173,129
174,130
175,130
176,131
177,132
178,132
179,133
180,134
181,135
182,135
183,136
184,137
185,137
186,138
187,139
188,140
189,141
190,142
191,143
192,143
193,144
194,145
195,145
196,146
197,147
198,148
199,148
200,149
201,150
202,150
203,151
204,152
205,153
206,154
207,154
208,155
209,156
210,156
211,157
212,158
213,159
214,159
215,160
216,161
217,161
218,162
219,163
220,164
221,165
222,166
223,166
224,167
225,168
226,168
227,169
228,170
229,171
230,171
231,172
232,173
233,173
234,174
235,175
236,176
237,177
238,177
239,178
240,179
241,179
242,180
243,181
244,182
245,182
246,183
247,184
248,184
249,185
250,186
251,187
252,188
253,189
END
